MATCH STATISTICS
Player                    W    L   percentage
Jerzy Janowicz           29   20       18.889
Novak Djokovic           30   18       18.792
Jeremy Chardy            31   18       18.778
Kei Nishikori            30   18       18.714
Kevin Anderson           29   18       18.615
Stanislas Wawrinka       26   18       18.588
Andy Murray              31   18       18.368
Gilles Simon             37   18       18.364
Milos Raonic             25   18       18.250
Marin Cilic              27   18       18.125
Jo-Wilfried Tsonga       37   18       18.000
Tomas Berdych            25   18       17.882
Roger Federer            26   18       17.857
Rafael Nadal             24   18       17.833
Roberto Bautista-Agut    28   18       17.750
David Ferrer             25   18       17.462
Marcel Granollers        29   18       17.375
Grigor Dimitrov          26   18       17.286
John Isner               27   19       17.000
Feliciano Lopez          27   19       16.900
Ernests Gulbis           29   18       16.700
Leonardo Mayer           25   18       16.700
Gael Monfils             23   18       16.692
Andrey Kuznetsov         27   23       16.667
Fernando Verdasco        29   18       16.143
Benoit Paire             30   19       16.000
Sam Querrey              26   18       16.000
Fabio Fognini            24   18       15.900
Richard Gasquet          27   19       15.778
Martin Klizan            25   19       15.714
Jarkko Nieminen          30   20       15.600
Guillermo Garcia-Lopez   26   18       15.429
Simone Bolelli           25   18       15.000
Teymuraz Gabashvili      24   18       15.000
Dominic Thiem            25   18       14.857
Philipp Kohlschreiber    25   18       14.750
Denis Istomin            23   19       14.714
Dusan Lajovic            25   18       14.714
Adrian Mannarino         26   18       14.571
Jack Sock                25   18       14.333
Alexandr Dolgopolov      25   19       14.167
Andreas Seppi            30   18       14.167
Donald Young             25   19       14.000
Jiri Vesely              31   18       13.800
Thomaz Bellucci          25   19       13.400
Edouard Roger-Vasselin   25   19       13.400
Blaz Kavcic              28   19       13.200
Radek Stepanek           27   18       13.200
Stephane Robert          25   19       12.600
Florian Mayer            24   18       12.200
Ivo Karlovic             21   19       12.000
Mikhail Kukushkin        24   18       12.000
Marinko Matosevic        26   22       12.000
Aleksandr Nedovyesov     24   23       11.750
Mikhail Youzhny          22   18       11.600
Facundo Bagnis           34   34       11.333
Andreas Haider-Maurer    26   19       11.250
Lukasz Kubot             26   19       11.250
Dmitry Tursunov          19   18       11.200
Pablo Carreno-Busta      23   21       11.000
Damir Dzumhur            26   18       11.000
Santiago Giraldo         25   19       11.000
Victor Estrella-Burgos   23   20       10.750
Alejandro Gonzalez       24   19       10.750
Robin Haase              24   19       10.750
Jimmy Wang               25   18       10.750
Paul-Henri Mathieu       32   32       10.667
Matthew Ebden            23   19       10.500
Jan-Lennard Struff       24   18       10.500
Vasek Pospisil           23   18       10.250
Pablo Andujar            21   18        9.750
Kenny De-Schepper        21   18        9.750
Jan Hernych              29   29        9.667
Steve Johnson            29   29        9.667
Axel Michon              29   29        9.667
Vincent Millot           29   29        9.667
Julian Reister           29   29        9.667
Bernard Tomic            20   18        9.500
Blaz Rola                19   18        9.250
Sergiy Stakhovsky        19   18        9.250
David Goffin             18   18        9.000
Joao Sousa               27   27        9.000
Tatsuma Ito              26   26        8.667
Julien Benneteau         25   25        8.333
Illya Marchenko          25   25        8.333
Nikolay Davydenko        24   24        8.000
Juan-Martin Del-Potro    24   24        8.000
Alejandro Falla          24   24        8.000
Lleyton Hewitt           24   24        8.000
Denis Kudla              24   24        8.000
Alexander Kudryavtsev    24   24        8.000
Jurgen Melzer            24   24        8.000
Yen-Hsun Aleksandr       23   23        7.667
Tim Smyczek              23   23        7.667
Marcos Baghdatis         22   22        7.333
Lukas Rosol              22   22        7.333
Luke Saville             22   22        7.333
Carlos Berlocq           21   21        7.000
Tobias Kamke             21   21        7.000
Frank Dancevic           20   20        6.667
Ivan Dodig               20   20        6.667
Victor Hanescu           20   20        6.667
Thanasi Kokkinakis       20   20        6.667
Gilles Muller            20   20        6.667
Michal Przysiezny        20   20        6.667
Tim Puetz                20   20        6.667
Dudi Sela                20   20        6.667
Michael Berrer           19   19        6.333
Sam Groth                19   19        6.333
Michael Llodra           19   19        6.333
Ante Pavic               19   19        6.333
Diego Schwartzman        19   19        6.333
Jurgen Zopp              19   19        6.333
Matthias Bachinger       18   18        6.000
Benjamin Becker          18   18        6.000
Borna Coric              18   18        6.000
Pablo Cuevas             18   18        6.000
Federico Delbonis        18   18        6.000
Peter Gojowczyk          18   18        6.000
Yen-Hsun Jimmy           18   18        6.000
Juan Monaco              18   18        6.000
Paolo Lorenzi            14   14        4.667
Radu Albot                0    0        0.000
Nicolas Almagro           0    0        0.000
Soeda Andy                0    0        0.000
Facundo Arguello          0    0        0.000
Andrea Arnaboldi          0    0        0.000
Andreas Beck              0    0        0.000
Aljaz Bedene              0    0        0.000
Ricardas Berankis         0    0        0.000
Alex Bogomolov-Jr.        0    0        0.000
Daniel Brands             0    0        0.000
Dustin Brown              0    0        0.000
Marco Chiudinelli         0    0        0.000
Daniel Cox                0    0        0.000
Taro Daniel               0    0        0.000
Steve Darcis              0    0        0.000
Aleksandr De-Schepper     0    0        0.000
Niels Desein              0    0        0.000
Somdev Devvarman          0    0        0.000
Jared Donaldson           0    0        0.000
Evgeny Donskoy            0    0        0.000
James Duckworth           0    0        0.000
Kyle Edmund               0    0        0.000
Gastao Elias              0    0        0.000
Daniel Evans              0    0        0.000
Yen-Hsun Ferrer           0    0        0.000
Daniel Gimeno-Traver      0    0        0.000
Robby Ginepri             0    0        0.000
Marcos Giron              0    0        0.000
Wang Gojowczyk            0    0        0.000
Andrey Golubev            0    0        0.000
Maximo Gonzalez           0    0        0.000
Yen-Hsun Gonzalez         0    0        0.000
Samuel Groth              0    0        0.000
David Guez                0    0        0.000
Tommy Haas                0    0        0.000
Jan Hajek                 0    0        0.000
Ryan Harrison             0    0        0.000
Pierre-Hugues Herbert     0    0        0.000
Jesse Huta-Galung         0    0        0.000
Marsel Ilhan              0    0        0.000
Malek Jaziri              0    0        0.000
Bradley Klahn             0    0        0.000
Filip Krajinovic          0    0        0.000
Konstantin Kravchuk       0    0        0.000
Alex Kuznetsov            0    0        0.000
Lukas Lacko               0    0        0.000
Laurent Lokoli            0    0        0.000
Nicolas Mahut             0    0        0.000
James McGee               0    0        0.000
Miloslav Mecir            0    0        0.000
Albert Montanes           0    0        0.000
Nedovyesov Nedovyesov     0    0        0.000
Yoshihito Nishioka        0    0        0.000
Wayne Odesnik             0    0        0.000
Albano Olivetti           0    0        0.000
Peter Polansky            0    0        0.000
Lucas Pouille             0    0        0.000
Albert Ramos-Vinolas      0    0        0.000
Pere Riba                 0    0        0.000
Noah Rubin                0    0        0.000
Michael Russell           0    0        0.000
Igor Sijsling             0    0        0.000
Daniel Smethurst          0    0        0.000
Potito Starace            0    0        0.000
Yuichi Sugita             0    0        0.000
Jordan Thompson           0    0        0.000
Filippo Volandri          0    0        0.000
James Ward                0    0        0.000
Yen-Hsun Wawrinka         0    0        0.000
Rhyne Williams            0    0        0.000
Yen-Hsun Yen-Hsun         0    0        0.000
Horacio Zeballos          0    0        0.000
Zhang Zhang               0    0        0.000
